NULL,1,3,Mathematics - I,4
NULL,1,3,Engineering Physics,4
NULL,1,3,Programming for Problem Solving,4
NULL,1,3,Engineering Graphics,3
NULL,2,3,Engineering Workshop,2.5
NULL,2,3,Engineering Chemistry Lab,1.5
NULL,2,3,English Language and Communication Skills Lab,1
NULL,2,3,Mathematics - II,4
NULL,2,3,Chemistry,4
NULL,2,3,English,2
NULL,2,3,Engineering Mechanics,4
NULL,3,3,Machine Drawing Practice,1
NULL,3,3,Material Science and Mechanics of Solids Lab,1
NULL,3,3,Production Technology Lab,1
NULL,3,3,Constitution of India,0
NULL,3,3,Material Science and Metallurgy,3
NULL,3,3,Mechanics of Solids,4
NULL,3,3,Probability and Statistics & Complex Variables,4
NULL,3,3,Production Technology,3
NULL,3,3,Thermodynamics,4
NULL,4,3,Basic Electrical and Electronics Engineering Lab,1
NULL,4,3,Fluid Mechanics and Hydraulic Machines Lab,1
NULL,4,3,Instrumentation and Control Systems Lab,1
NULL,4,3,GenderSensitization Lab,0
NULL,4,3,Basic Electrical and Electronics Engineering,3
NULL,4,3,Fluid Mechanics and Hydraulic Machines,4
NULL,4,3,Instrumentation and Control Systems,3
NULL,4,3,Kinematics of Machinery,4
NULL,4,3,ThermaIEngineering-I,4
NULL,5,3,Kinematics & Dynamics Lab,1
NULL,5,3,Metrology & Machine Tools Lab,1
NULL,5,3,Thermal Engineering Lab,1
NULL,5,3,Intellectual Property Rights,0
NULL,5,3,Cyber Security,0
NULL,5,3,Business Economics & Financial Analysis,3
NULL,5,3,Design of Machine Members-I,3
NULL,5,3,Dynamics of Machinery,4
NULL,5,3,Metrology & Machine Tools,3
NULL,5,3,Operations Research,3
NULL,5,3,Thermal Engineering-II,3
NULL,6,3,Advanced Communication Skills lab,1
NULL,6,3,CAD & CAM Lab,1
NULL,6,3,Heat Transfer Lab,1
NULL,6,3,Artificial Intelligence,0
NULL,6,3,CAD & CAM,3
NULL,6,3,Design of Machine Members-II,3
NULL,6,3,Finite Element Methods,3
NULL,6,3,Heat Transfer,4
NULL,6,3,Professional Elective - I,3
NULL,6,3,Open Elective - I   ,3
NULL,7,3,Refrigeration & Air Conditioning,3
NULL,7,3,Professional Elective — II,3
NULL,7,3,Professional Elective — III,3
NULL,7,3,Professional Elective - IV,3
NULL,7,3,Open Elective - II,3
NULL,7,3,Industrial Oriented Mini Project/ Summer Internship,2
NULL,7,3,Seminar,1
NULL,7,3,Project Stage - I,3
NULL,8,3,Professional Elective — V,3
NULL,8,3,Professional Elective — VI,3
NULL,8,3,Open Elective - III,3
NULL,8,3,Project Stage - II,7
NULL,1,4,Programming for Problem Solving Lab,1.5
NULL,1,4,Environmental Science,0
NULL,1,4,Applied Physics Lab,1.5
NULL,1,4,Mathematics - I,4
NULL,1,4,Programming for Problem Solving,4
NULL,1,4,Engineering Graphics,3
NULL,1,4,Applied Physics,4
NULL,2,4,Engineering Workshop,2.5
